corpus,experiment,condition,class,fold,metric,value
sep28k,clean_baseline,clean,Block,0,f1,0.6222527472527473
sep28k,clean_val_tuned,clean,Block,0,f1,0.6562835660580022
sep28k,clean_mlp_baseline,clean,Block,0,f1,0.6199575371549894
sep28k,clean_majority_vote,clean,Block,0,f1,0.32727272727272727
sep28k,clean_baseline,clean,Block,0,precision,0.6080536912751678
sep28k,clean_val_tuned,clean,Block,0,precision,0.5308427454387489
sep28k,clean_mlp_baseline,clean,Block,0,precision,0.6239316239316239
sep28k,clean_majority_vote,clean,Block,0,precision,0.20536912751677852
sep28k,clean_baseline,clean,Block,0,recall,0.6371308016877637
sep28k,clean_val_tuned,clean,Block,0,recall,0.8593530239099859
sep28k,clean_mlp_baseline,clean,Block,0,recall,0.6160337552742616
sep28k,clean_majority_vote,clean,Block,0,recall,0.8052631578947368
sep28k,clean_baseline,clean,Block,0,auc,0.7182899605903692
sep28k,clean_val_tuned,clean,Block,0,auc,0.7182899605903692
sep28k,clean_mlp_baseline,clean,Block,0,auc,0.72897533377948
sep28k,clean_majority_vote,clean,Block,0,auc,0.7620977976857036
sep28k,clean_baseline,clean,Block,0,pr_auc,0.6741896223390024
sep28k,clean_val_tuned,clean,Block,0,pr_auc,0.6741896223390024
sep28k,clean_mlp_baseline,clean,Block,0,pr_auc,0.6810686163431596
sep28k,clean_majority_vote,clean,Block,0,pr_auc,0.30180188884141745
sep28k,clean_baseline,clean,Block,0,ece,0.045437503703256665
sep28k,clean_val_tuned,clean,Block,0,ece,0.045437503703256665
sep28k,clean_mlp_baseline,clean,Block,0,ece,0.04339741646777837
sep28k,clean_majority_vote,clean,Block,0,ece,0.3670188679635372
sep28k,clean_baseline,clean,Block,0,brier,0.2140641897781562
sep28k,clean_val_tuned,clean,Block,0,brier,0.2140641897781562
sep28k,clean_mlp_baseline,clean,Block,0,brier,0.20967240631580353
sep28k,clean_majority_vote,clean,Block,0,brier,0.24517296755125692
sep28k,clean_baseline,clean,Prolongation,0,f1,0.5904121110176619
sep28k,clean_val_tuned,clean,Prolongation,0,f1,0.5785417901600475
sep28k,clean_mlp_baseline,clean,Prolongation,0,f1,0.5310344827586206
sep28k,clean_majority_vote,clean,Prolongation,0,f1,0.35279805352798055
sep28k,clean_baseline,clean,Prolongation,0,precision,0.5416666666666666
sep28k,clean_val_tuned,clean,Prolongation,0,precision,0.4258289703315881
sep28k,clean_mlp_baseline,clean,Prolongation,0,precision,0.7021276595744681
sep28k,clean_majority_vote,clean,Prolongation,0,precision,0.22376543209876543
sep28k,clean_baseline,clean,Prolongation,0,recall,0.6487985212569316
sep28k,clean_val_tuned,clean,Prolongation,0,recall,0.9020332717190388
sep28k,clean_mlp_baseline,clean,Prolongation,0,recall,0.4269870609981516
sep28k,clean_majority_vote,clean,Prolongation,0,recall,0.8333333333333334
sep28k,clean_baseline,clean,Prolongation,0,auc,0.7692832669190584
sep28k,clean_val_tuned,clean,Prolongation,0,auc,0.7692832669190584
sep28k,clean_mlp_baseline,clean,Prolongation,0,auc,0.7760800392376583
sep28k,clean_majority_vote,clean,Prolongation,0,auc,0.83031065112605
sep28k,clean_baseline,clean,Prolongation,0,pr_auc,0.6622942390335289
sep28k,clean_val_tuned,clean,Prolongation,0,pr_auc,0.6622942390335289
sep28k,clean_mlp_baseline,clean,Prolongation,0,pr_auc,0.6680368325044206
sep28k,clean_majority_vote,clean,Prolongation,0,pr_auc,0.4343955325728358
sep28k,clean_baseline,clean,Prolongation,0,ece,0.11705781768148962
sep28k,clean_val_tuned,clean,Prolongation,0,ece,0.11705781768148962
sep28k,clean_mlp_baseline,clean,Prolongation,0,ece,0.020732955336570744
