condition,class,clean_auc,degraded_auc,auc_drop,rel_auc_drop_pct
clean,Block,0.709999504565053,0.709999504565053,0.0,0.0
clean,Prolongation,0.7851299228539488,0.7851299228539488,0.0,0.0
clean,SoundRep,0.8360781289706555,0.8360781289706555,0.0,0.0
clean,WordRep,0.8587953384491721,0.8587953384491721,0.0,0.0
clean,Interjection,0.8696208836909873,0.8696208836909873,0.0,0.0
opus_16k,Block,0.709999504565053,0.7095771706357566,0.00042233392929635905,0.05948369352103725
opus_16k,Prolongation,0.7851299228539488,0.7841636958272622,0.0009662270266865836,0.12306587719575715
opus_16k,SoundRep,0.8360781289706555,0.8366874146431277,-0.000609285672472204,-0.07287425078590815
opus_16k,WordRep,0.8587953384491721,0.8593861335668361,-0.0005907951176640225,-0.0687934704828383
opus_16k,Interjection,0.8696208836909873,0.8693898933832396,0.0002309903077477582,0.026562184979660484
opus_8k,Block,0.709999504565053,0.7034812400310158,0.006518264534037255,0.9180660679517453
opus_8k,Prolongation,0.7851299228539488,0.7737928707026439,0.011337052151304872,1.4439714780064254
opus_8k,SoundRep,0.8360781289706555,0.8234396449840216,0.01263848398663392,1.511639109875281
opus_8k,WordRep,0.8587953384491721,0.8525450699108719,0.006250268538300241,0.7277948841207135
opus_8k,Interjection,0.8696208836909873,0.8630063688599652,0.006614514831022156,0.760620513498681
opus_16k_dtx,Block,0.709999504565053,0.709489233823013,0.0005102707420400199,0.07186916874718281
opus_16k_dtx,Prolongation,0.7851299228539488,0.7843546284294044,0.0007752944245443816,0.09874727761313502
opus_16k_dtx,SoundRep,0.8360781289706555,0.8366925087841766,-0.0006143798135210821,-0.07348354085968986
opus_16k_dtx,WordRep,0.8587953384491721,0.8588654506065385,-7.011215736640874e-05,-0.008164012335350879
opus_16k_dtx,Interjection,0.8696208836909873,0.8706068789170958,-0.000985995226108427,-0.1133821927002839
vad_agg3,Block,0.709999504565053,0.6422062374456174,0.06779326711943556,9.548354144411107
vad_agg3,Prolongation,0.7851299228539488,0.7626951750183628,0.022434747835585966,2.857456732006292
vad_agg3,SoundRep,0.8360781289706555,0.7930539686591885,0.04302416031146694,5.145949740897599
vad_agg3,WordRep,0.8587953384491721,0.850346420649854,0.008448917799318112,0.9838103935886888
vad_agg3,Interjection,0.8696208836909873,0.858133337333854,0.011487546357133338,1.3209832666823746
vad_zero,Block,0.709999504565053,0.6455788863687113,0.0644206181963417,9.07333283785964
vad_zero,Prolongation,0.7851299228539488,0.7345031980244319,0.05062672482951691,6.448197088895641
vad_zero,SoundRep,0.8360781289706555,0.778710138799298,0.05736799017135752,6.861558529462624
vad_zero,WordRep,0.8587953384491721,0.8248375586254021,0.03395777982377002,3.9541178559599057
vad_zero,Interjection,0.8696208836909873,0.8406300779820416,0.028990805708945744,3.3337292437019475
denoise,Block,0.709999504565053,0.6844879906438843,0.025511513921168683,3.593173482113496
denoise,Prolongation,0.7851299228539488,0.7747271016478743,0.010402821206074497,1.3249808602708992
denoise,SoundRep,0.8360781289706555,0.8105602562738374,0.025517872696818045,3.052091881441102
denoise,WordRep,0.8587953384491721,0.8497667469525867,0.009028591496585414,1.0513088616537447
denoise,Interjection,0.8696208836909873,0.862179140677792,0.007441743013195334,0.8557456648936338
full_chain,Block,0.709999504565053,0.614685570615563,0.09531393394949006,13.424507106928129
full_chain,Prolongation,0.7851299228539488,0.7548085782328091,0.030321344621139668,3.8619524920055937
full_chain,SoundRep,0.8360781289706555,0.7530172203809442,0.08306090858971127,9.934586937703106
full_chain,WordRep,0.8587953384491721,0.8350511374950944,0.0237442009540777,2.764826483217224
full_chain,Interjection,0.8696208836909873,0.8449363503745675,0.024684533316419843,2.8385396187416414
