condition,class,ece,brier
clean,Block,0.03620227971732491,0.21220503269809746
clean,Prolongation,0.11250516141350275,0.18347536862445804
clean,SoundRep,0.115854701152728,0.1537408505874838
clean,WordRep,0.14768549092163866,0.14826790563016873
clean,Interjection,0.05694152869724989,0.1424541799699295
opus_16k,Block,0.03434319976481477,0.21232645733228886
opus_16k,Prolongation,0.10697932052939785,0.1823115962157201
opus_16k,SoundRep,0.1179246573338224,0.15438373270810207
opus_16k,WordRep,0.1524256689032494,0.14938855846760485
opus_16k,Interjection,0.058480433263678466,0.1426553225613453
opus_8k,Block,0.03138768242199789,0.21420587296060253
opus_8k,Prolongation,0.08594422606464217,0.1816739941351538
opus_8k,SoundRep,0.15714651731406148,0.17167188465805763
opus_8k,WordRep,0.15972783657264775,0.15364620772805215
opus_8k,Interjection,0.06575987403027118,0.14678155022499487
opus_16k_voip,Block,0.038175487322331954,0.21238912980699415
opus_16k_voip,Prolongation,0.10662496731211153,0.1820481943221648
opus_16k_voip,SoundRep,0.11903240594079365,0.1545500055188349
opus_16k_voip,WordRep,0.15280749130120572,0.1490662284771752
opus_16k_voip,Interjection,0.059634638793819826,0.14268091048053833
vad_agg3,Block,0.07994374516365448,0.23863431690074757
vad_agg3,Prolongation,0.11074493749126664,0.1947652721618446
vad_agg3,SoundRep,0.07609091629959583,0.16134378412492914
vad_agg3,WordRep,0.2267274219970739,0.19366055752736183
vad_agg3,Interjection,0.06863213394560522,0.14961034782547353
vad_zero,Block,0.06095884159351914,0.23515468670256007
vad_zero,Prolongation,0.09384489856446132,0.19968544200659508
vad_zero,SoundRep,0.05194144622461083,0.16152695136938985
vad_zero,WordRep,0.09160810909025002,0.14422931881665485
vad_zero,Interjection,0.03496961240851513,0.1528054965242968
denoise,Block,0.06161318596023848,0.22267582668059807
denoise,Prolongation,0.057169124698216875,0.1770960597002253
denoise,SoundRep,0.10573027883891276,0.16017781767056888
denoise,WordRep,0.15508390474201175,0.15257569120300019
denoise,Interjection,0.04515829982942472,0.1431494080103849
full_chain_novad,Block,0.053965720234486925,0.221737156805907
full_chain_novad,Prolongation,0.05548394064666516,0.17725040234512573
full_chain_novad,SoundRep,0.1075519144153669,0.160296998615787
full_chain_novad,WordRep,0.15929960609742405,0.15434975426717384
full_chain_novad,Interjection,0.04595211262638506,0.14324328263745856
full_chain,Block,0.09544532545206755,0.24885148807373433
full_chain,Prolongation,0.10880396898236167,0.19812116736549412
full_chain,SoundRep,0.10150085811689855,0.1820550016300242
full_chain,WordRep,0.23408523490940417,0.20659746656945965
full_chain,Interjection,0.06725436002271265,0.1552327474790673
random_del_matched,Block,0.10687956693723806,0.24397297422925437
random_del_matched,Prolongation,0.07292644204752015,0.19792757310016088
random_del_matched,SoundRep,0.16063179567579777,0.20208831389218007
random_del_matched,WordRep,0.14456773305202866,0.18078091820232092
random_del_matched,Interjection,0.07761598416992277,0.17759812028398425
random_del_30pct,Block,0.07630516197492232,0.22531219744038794
random_del_30pct,Prolongation,0.040642662874341075,0.17862728155184598
random_del_30pct,SoundRep,0.14084685450739998,0.174065534718098
random_del_30pct,WordRep,0.15153253548677262,0.1641307000961922
random_del_30pct,Interjection,0.0715053175246189,0.15448839588415691
