Show,EpId,ClipId,Start,Stop,Unsure,PoorAudioQuality,Prolongation,Block,SoundRep,WordRep,DifficultToUnderstand,Interjection,NoStutteredWords,NaturalPause,Music,NoSpeech,file_path,exists,episode_id,clip_uid,fold,cross_show_split,Block_any,Block_maj,Prolongation_any,Prolongation_maj,SoundRep_any,SoundRep_maj,WordRep_any,WordRep_maj,Interjection_any,Interjection_maj
HeStutters,16,185,36018240,36066240,0,0,0,0,0,3,0,3,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/16/185.wav,True,HeStutters_16,HeStutters_16_185,4,train,0,0,0,0,0,0,1,1,1,1
HVSA,2,198,4258400,4306400,0,0,0,1,0,3,0,2,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HVSA/2/198.wav,True,HVSA_2,HVSA_2_198,3,test,1,0,0,0,0,0,1,1,1,1
StutterTalk,1,14,12077920,12125920,0,0,0,1,1,1,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/1/14.wav,True,StutterTalk_1,StutterTalk_1_14,3,train,1,0,0,0,1,0,1,0,0,0
WomenWhoStutter,50,291,35502400,35550400,0,3,1,0,0,1,1,0,1,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/50/291.wav,True,WomenWhoStutter_50,WomenWhoStutter_50_291,0,train,0,0,1,0,0,0,1,0,0,0
WomenWhoStutter,81,12,34445600,34493600,0,0,0,0,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/81/12.wav,True,WomenWhoStutter_81,WomenWhoStutter_81_12,1,train,0,0,0,0,0,0,1,1,0,0
WomenWhoStutter,29,14,11312640,11360640,0,0,0,0,0,3,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/29/14.wav,True,WomenWhoStutter_29,WomenWhoStutter_29_14,3,train,0,0,0,0,0,0,1,1,0,0
StutterTalk,8,151,16120640,16168640,0,0,0,0,0,3,0,1,0,1,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/8/151.wav,True,StutterTalk_8,StutterTalk_8_151,2,train,0,0,0,0,0,0,1,1,1,0
HeStutters,12,42,33218880,33266880,0,0,0,0,1,2,0,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/HeStutters/12/42.wav,True,HeStutters_12,HeStutters_12_42,0,train,0,0,0,0,1,0,1,1,0,0
StutterTalk,54,14,16930080,16978080,0,0,0,1,0,3,1,0,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/StutterTalk/54/14.wav,True,StutterTalk_54,StutterTalk_54_14,2,train,1,0,0,0,0,0,1,1,0,0
WomenWhoStutter,16,32,35959680,36007680,0,0,3,1,0,3,0,1,0,0,0,0,/Users/anishapattanayak/Documents/SLT/Dysfluency-Aware-Endpointing/clips/WomenWhoStutter/16/32.wav,True,WomenWhoStutter_16,WomenWhoStutter_16_32,4,train,1,0,1,1,0,0,1,1,1,0
