condition,class,clean_f1,degraded_f1,delta_f1,delta_f1_ci_low,delta_f1_ci_high,rel_delta_pct,clean_auc,degraded_auc,delta_auc,delta_auc_ci_low,delta_auc_ci_high,p_val_raw,p_val_holm,rho,delta
clean,Block,0.6377675426713628,0.6377675426713628,0.0,0.0,0.0,0.0,0.7242523802631662,0.7242523802631662,0.0,0.0,0.0,1.0,1.0,0.0,0.0
clean,Prolongation,0.6238406046032291,0.6238406046032291,0.0,0.0,0.0,0.0,0.7889036355449687,0.7889036355449687,0.0,0.0,0.0,1.0,1.0,0.0,0.0
clean,SoundRep,0.658818913086129,0.658818913086129,0.0,0.0,0.0,0.0,0.8442656884908766,0.8442656884908766,0.0,0.0,0.0,1.0,1.0,0.0,0.0
clean,WordRep,0.6447193990278391,0.6447193990278391,0.0,0.0,0.0,0.0,0.8513323333333334,0.8513323333333334,0.0,0.0,0.0,1.0,1.0,0.0,0.0
clean,Interjection,0.756299938537185,0.756299938537185,0.0,0.0,0.0,0.0,0.8656133532445605,0.8656133532445605,0.0,0.0,0.0,1.0,1.0,0.0,0.0
opus_16k,Block,0.6377675426713628,0.6324996583299166,-0.005267884341446205,-0.010540225856735664,-0.0004723955725699394,-0.825988152263294,0.7242523802631662,0.7225565253506678,-0.0016958549124983513,-0.0037086431032975153,0.00023335772535937603,0.036,0.18,0.00022300409812766965,0.0
opus_16k,Prolongation,0.6238406046032291,0.6210746685275645,-0.0027659360756645546,-0.009251652498548271,0.0035118400385352765,-0.44337224208477527,0.7889036355449687,0.7884526001537389,-0.00045103539122981484,-0.0020216329896775103,0.0011079035441864168,0.404,1.0,0.00022300409812766965,0.0
opus_16k,SoundRep,0.658818913086129,0.6575769380599922,-0.0012419750261368767,-0.0075226238412110045,0.005114301767599464,-0.188515387379978,0.8442656884908766,0.8441459251251526,-0.00011976336572394608,-0.0018767622982621246,0.0015780756099294663,0.726,1.0,0.00022300409812766965,0.0
opus_16k,WordRep,0.6447193990278391,0.6448230668414154,0.0001036678135762914,-0.006622080569714134,0.006881483913502522,0.016079524477254793,0.8513323333333334,0.85189175,0.0005594166666665901,-0.0012610351042674495,0.0025341274416644573,0.952,1.0,0.00022300409812766965,0.0
opus_16k,Interjection,0.756299938537185,0.7550582464745554,-0.0012416920626295846,-0.006094172940758169,0.003875130752678629,-0.16417984444521203,0.8656133532445605,0.8654284283977483,-0.00018492484681220667,-0.0017130136363934872,0.001216283530840051,0.616,1.0,0.00022300409812766965,0.0
opus_8k,Block,0.6377675426713628,0.6104175634954799,-0.027349979175882888,-0.035898759869625374,-0.01903963836799669,-4.28839308148614,0.7242523802631662,0.7142774886571728,-0.009974891605993408,-0.014542585262277249,-0.005147719880461732,0.001,0.005,4.663588957128941e-05,0.0
opus_8k,Prolongation,0.6238406046032291,0.6006203247582558,-0.023220279844973324,-0.03675773501601239,-0.01092557164544306,-3.722149483960206,0.7889036355449687,0.7786136181823057,-0.010290017362662995,-0.01483358363763243,-0.005932939411033797,0.001,0.005,4.663588957128941e-05,0.0
opus_8k,SoundRep,0.658818913086129,0.64,-0.01881891308612904,-0.027653056943567417,-0.01005963688073962,-2.8564621798689616,0.8442656884908766,0.8302766473299834,-0.013989041160893168,-0.018277132679770415,-0.009627541359801902,0.001,0.005,4.663588957128941e-05,0.0
opus_8k,WordRep,0.6447193990278391,0.6307792489689603,-0.01394015005887883,-0.024803345632402482,-0.002423473294317793,-2.16220422092137,0.8513323333333334,0.8459782499999999,-0.005354083333333426,-0.010290186164124604,-0.0004726225587353224,0.02,0.04,4.663588957128941e-05,0.0
opus_8k,Interjection,0.756299938537185,0.7505693031729164,-0.005730635364268655,-0.012752952192592138,0.0015436801870497806,-0.7577199299199594,0.8656133532445605,0.8610786464554989,-0.004534706789061538,-0.008095374187191126,-0.0010154532753799805,0.128,0.128,4.663588957128941e-05,0.0
opus_16k_voip,Block,0.6377675426713628,0.6355597877839749,-0.0022077548873878916,-0.006726942274779902,0.002038925595773771,-0.34616921365117703,0.7242523802631662,0.722811384989082,-0.0014409952740841447,-0.003224782783551652,0.0005112051282670163,0.324,1.0,0.00013709435646591049,0.0
opus_16k_voip,Prolongation,0.6238406046032291,0.6220595922634605,-0.0017810123397685729,-0.007609557195528507,0.004264682539731913,-0.2854915705432993,0.7889036355449687,0.7890192050715958,0.00011556952662716835,-0.001351477956788119,0.0016143680065841513,0.53,1.0,0.00013709435646591049,0.0
opus_16k_voip,SoundRep,0.658818913086129,0.6600273384104667,0.0012084253243376253,-0.004019778644656738,0.006485966966854932,0.1834229862462441,0.8442656884908766,0.8438536571764967,-0.00041203131437983487,-0.0018904225244008783,0.001030800187241337,0.648,1.0,0.00013709435646591049,0.0
opus_16k_voip,WordRep,0.6447193990278391,0.6506445269827398,0.005925127954900633,-0.0007442424771963357,0.012149608355332055,0.919024301709399,0.8513323333333334,0.8531600833333334,0.0018277500000000169,-0.0001415562145354959,0.00385117257087077,0.072,0.36,0.00013709435646591049,0.0
opus_16k_voip,Interjection,0.756299938537185,0.7568393703194254,0.0005394317822403627,-0.004249018785957845,0.005109772226467149,0.0713251125319033,0.8656133532445605,0.8661087564999188,0.000495403255358351,-0.001139429573215192,0.002239262555305138,0.812,1.0,0.00013709435646591049,0.0
vad_agg3,Block,0.6377675426713628,0.5179879019420567,-0.11977964072930614,-0.13703471536066736,-0.1031304049247797,-18.78108130551695,0.7242523802631662,0.6526089446293837,-0.0716434356337825,-0.0809746717137223,-0.06209675115533292,0.001,0.005,0.7798973491336088,0.41286874999999995
vad_agg3,Prolongation,0.6238406046032291,0.6090407177363699,-0.01479988686685918,-0.025608065485953978,-0.0036888143650703107,-2.3723827461138254,0.7889036355449687,0.7708669683717978,-0.018036667173170873,-0.024843010341385936,-0.011600784427084166,0.004,0.008,0.7798973491336088,0.41286874999999995
vad_agg3,SoundRep,0.658818913086129,0.6082227539699804,-0.050596159116148676,-0.06677411856401855,-0.03495648765004005,-7.679827963520244,0.8442656884908766,0.8042772673793078,-0.03998842111156875,-0.04839084050467004,-0.03125005278976452,0.001,0.005,0.7798973491336088,0.41286874999999995
vad_agg3,WordRep,0.6447193990278391,0.5986842105263158,-0.04603518850152333,-0.062073529043787226,-0.03053048096523646,-7.140344864903858,0.8513323333333334,0.8447651666666667,-0.0065671666666666795,-0.013149863741726137,0.00014981884633997596,0.001,0.005,0.7798973491336088,0.41286874999999995
vad_agg3,Interjection,0.756299938537185,0.7497005988023953,-0.006599339734789766,-0.014626387743953324,0.0013749224022677395,-0.8725823444537139,0.8656133532445605,0.8583592616859427,-0.007254091558617781,-0.011368969630260208,-0.0030439650630447353,0.104,0.104,0.7798973491336088,0.41286874999999995
vad_zero,Block,0.6377675426713628,0.5204274041483343,-0.11734013852302849,-0.13514652934196303,-0.10094776740363201,-18.398574821091678,0.7242523802631662,0.64960248189238,-0.07464989837078617,-0.08544433198282333,-0.0634663748543202,0.001,0.005,0.0,0.0
vad_zero,Prolongation,0.6238406046032291,0.5508784773060029,-0.07296212729722618,-0.09164779595176292,-0.05622545504296112,-11.695636154307566,0.7889036355449687,0.7247898520039686,-0.06411378354100006,-0.07553746387949004,-0.05205949369767157,0.001,0.005,0.0,0.0
vad_zero,SoundRep,0.658818913086129,0.5542521994134897,-0.10456671367263937,-0.12600529382799888,-0.0834215632871398,-15.871844538101337,0.8442656884908766,0.7761247159020286,-0.06814097258884799,-0.08094618037801798,-0.05520799692204943,0.001,0.005,0.0,0.0
vad_zero,WordRep,0.6447193990278391,0.6073850791258478,-0.03733431990199132,-0.05496349509885385,-0.021109365027716903,-5.7907858765048905,0.8513323333333334,0.8099936666666667,-0.041338666666666635,-0.05116707250081366,-0.03202366968401093,0.001,0.005,0.0,0.0
vad_zero,Interjection,0.756299938537185,0.7209565357893036,-0.03534340274788139,-0.04575809021818403,-0.024481028286113007,-4.673199209329786,0.8656133532445605,0.8407658921476914,-0.024847461096869083,-0.03090790230752275,-0.01908985440580799,0.001,0.005,0.0,0.0
denoise,Block,0.6377675426713628,0.5319114027891715,-0.10585613988219134,-0.12590799033442218,-0.0881631173756171,-16.5979189594379,0.7242523802631662,0.696455437320261,-0.027796942942905134,-0.035626028752986476,-0.020037726448572973,0.001,0.005,0.0,0.0
denoise,Prolongation,0.6238406046032291,0.592391304347826,-0.031449300255403045,-0.04687853444135171,-0.017059300166880093,-5.041239705037349,0.7889036355449687,0.7773922822181304,-0.01151135332683828,-0.016039613516507914,-0.006682095850657253,0.001,0.005,0.0,0.0
