bin,class,mean_silence_removal,n_samples,f1,f1_ci_low,f1_ci_high
0,Block,7.356963350552738e-06,97158,0.6048860379418589,0.6018532949261354,0.6087627232920831
0,Prolongation,7.356963350552738e-06,97158,0.6187977898085617,0.6150197314780769,0.623024269153067
0,SoundRep,7.356963350552738e-06,97158,0.5915757803685596,0.5867044044263331,0.5969304755282367
0,WordRep,7.356963350552738e-06,97158,0.6180105470794252,0.6128639519847272,0.6223550869246754
0,Interjection,7.356963350552738e-06,97158,0.7536024141833271,0.7497981748619535,0.7566192701525507
1,Block,0.6411507569952594,16213,0.4220151828847481,0.41260326356997973,0.4329823853631169
1,Prolongation,0.6411507569952594,16213,0.563731170336037,0.5531277801930566,0.5723749867493986
1,SoundRep,0.6411507569952594,16213,0.5708799277081216,0.5587718883913831,0.5845715843089535
1,WordRep,0.6411507569952594,16213,0.5905663685779414,0.5793218420094379,0.6002555226002828
1,Interjection,0.6411507569952594,16213,0.7369215982424825,0.728978190681022,0.745055462421167
2,Block,0.861024722676346,16165,0.37466970387243737,0.36443082927869425,0.38730916302073165
2,Prolongation,0.861024722676346,16165,0.6426879172948524,0.6338873929817014,0.6509664147111486
2,SoundRep,0.861024722676346,16165,0.522397476340694,0.5066858848521403,0.5359135092044475
2,WordRep,0.861024722676346,16165,0.48159712366354435,0.4687679055893782,0.4919242726541131
2,Interjection,0.861024722676346,16165,0.7499336694083312,0.7425192367827854,0.7573218821690396
