setting,model,class,fold,f1,auc
clean,z_only,Block,0,0.6232029421598128,0.6949650064757782
clean,z_only,Block,1,0.6399235912129895,0.6891274840268032
clean,z_only,Block,2,0.6418835192069393,0.6958397959772453
clean,z_only,Block,3,0.6623261319917135,0.7037229282941033
clean,z_only,Block,4,0.6314132829713566,0.6843614019822462
clean,z_only,Prolongation,0,0.6697345132743363,0.7791204181724316
clean,z_only,Prolongation,1,0.5940783190066857,0.7666972617408598
clean,z_only,Prolongation,2,0.6023198011599006,0.754741156982061
clean,z_only,Prolongation,3,0.6486283352123262,0.7886711325677123
clean,z_only,Prolongation,4,0.6018018018018018,0.7713713816193012
clean,z_only,SoundRep,0,0.5887309110057926,0.8041801805420278
clean,z_only,SoundRep,1,0.6302083333333334,0.8465411979980634
clean,z_only,SoundRep,2,0.5865647187329328,0.8199327993129856
clean,z_only,SoundRep,3,0.5672131147540984,0.798143509650803
clean,z_only,SoundRep,4,0.5953488372093023,0.8328819750252068
clean,z_only,WordRep,0,0.5581395348837209,0.824575807334428
clean,z_only,WordRep,1,0.6431246655965757,0.8592901298296328
clean,z_only,WordRep,2,0.6213853396099529,0.8537081678956325
clean,z_only,WordRep,3,0.6080372743156669,0.8365166051179846
clean,z_only,WordRep,4,0.6022003474232773,0.8393976998984664
clean,z_only,Interjection,0,0.7305797650625236,0.8523079100821402
clean,z_only,Interjection,1,0.7811188811188812,0.8791201398119508
clean,z_only,Interjection,2,0.740799366838148,0.852785215271689
clean,z_only,Interjection,3,0.7587437544610992,0.8543438893194495
clean,z_only,Interjection,4,0.7660797700323392,0.8676868702647816
clean,g_only,Block,0,0.5662576687116564,0.5928574903167355
clean,g_only,Block,1,0.5339280025485823,0.5671186938770498
clean,g_only,Block,2,0.5778676683039584,0.570822170584758
clean,g_only,Block,3,0.5131832797427652,0.5574788431206018
clean,g_only,Block,4,0.5509816339455351,0.5730626217611252
clean,g_only,Prolongation,0,0.4492753623188406,0.5205422799904303
clean,g_only,Prolongation,1,0.3897216274089936,0.5323173583338797
clean,g_only,Prolongation,2,0.4607329842931937,0.5454916882073648
clean,g_only,Prolongation,3,0.4213505863323898,0.5445933432605119
clean,g_only,Prolongation,4,0.4239401496259352,0.5717467338705763
clean,g_only,SoundRep,0,0.38695838695838697,0.5801127634578116
clean,g_only,SoundRep,1,0.38939670932358317,0.5945141212709295
clean,g_only,SoundRep,2,0.415002038320424,0.6273313885988115
clean,g_only,SoundRep,3,0.3564453125,0.5787457172680994
clean,g_only,SoundRep,4,0.37714285714285717,0.6102067451953155
clean,g_only,WordRep,0,0.3191489361702128,0.5753906055630194
clean,g_only,WordRep,1,0.3799310608962084,0.5513798349001943
clean,g_only,WordRep,2,0.3311926605504587,0.5609942214974475
clean,g_only,WordRep,3,0.3590121636564689,0.5424498655047318
clean,g_only,WordRep,4,0.36858475894245724,0.5740816626738956
clean,g_only,Interjection,0,0.46239944036376357,0.5431783061563928
clean,g_only,Interjection,1,0.4927629462849791,0.5204629365331832
clean,g_only,Interjection,2,0.4116032928263426,0.5157827619803965
clean,g_only,Interjection,3,0.5296776137390781,0.540598598844392
clean,g_only,Interjection,4,0.48534738228514984,0.5254413028196516
clean,z_and_g,Block,0,0.6242038216560509,0.6949923689186971
clean,z_and_g,Block,1,0.6286080821039127,0.6880156712655867
clean,z_and_g,Block,2,0.6408428881313913,0.6952647018700684
clean,z_and_g,Block,3,0.6579727326615293,0.7024618569521961
clean,z_and_g,Block,4,0.6298516882297255,0.6840080597328717
clean,z_and_g,Prolongation,0,0.6676066267183645,0.7786808869637483
clean,z_and_g,Prolongation,1,0.5911047345767575,0.766197687886536
clean,z_and_g,Prolongation,2,0.6030692658647864,0.754694571156491
clean,z_and_g,Prolongation,3,0.6481828400149869,0.7881048526994402
clean,z_and_g,Prolongation,4,0.5985533453887885,0.7702046389054858
clean,z_and_g,SoundRep,0,0.5926315789473684,0.8045808271997911
clean,z_and_g,SoundRep,1,0.6323452938117524,0.8459069020866774
clean,z_and_g,SoundRep,2,0.5841476655808904,0.8187097843283163
clean,z_and_g,SoundRep,3,0.5692391899288451,0.7981341711681613
clean,z_and_g,SoundRep,4,0.5989553105049332,0.8323899339950324
clean,z_and_g,WordRep,0,0.5589980224126566,0.8245167189132707
clean,z_and_g,WordRep,1,0.6438502673796791,0.8587907850879226
clean,z_and_g,WordRep,2,0.6243315508021391,0.8539196918131972
clean,z_and_g,WordRep,3,0.6013986013986014,0.8363825440556131
clean,z_and_g,WordRep,4,0.6015037593984962,0.8391637743962732
clean,z_and_g,Interjection,0,0.7323730098559514,0.8521797256223433
clean,z_and_g,Interjection,1,0.781304499476805,0.8789879188972465
clean,z_and_g,Interjection,2,0.7395091053048297,0.852710873111306
clean,z_and_g,Interjection,3,0.7579322638146168,0.854162030678095
clean,z_and_g,Interjection,4,0.7654232424677188,0.8673021947980942
vad_agg3,z_only,Block,0,0.5730337078651685,0.6403275284417393
vad_agg3,z_only,Block,1,0.5984101748807631,0.6407970063156183
vad_agg3,z_only,Block,2,0.615100154083205,0.651724919305317
vad_agg3,z_only,Block,3,0.6368547418967587,0.6725480010919679
vad_agg3,z_only,Block,4,0.5861958266452648,0.6465161835354021
vad_agg3,z_only,Prolongation,0,0.6434354100668779,0.7513882418122064
vad_agg3,z_only,Prolongation,1,0.5673488814850072,0.7390546122074346
vad_agg3,z_only,Prolongation,2,0.5764227642276423,0.7328030103676545
vad_agg3,z_only,Prolongation,3,0.6462107208872458,0.7773702600979266
vad_agg3,z_only,Prolongation,4,0.5808726311150286,0.7548119311357031
vad_agg3,z_only,SoundRep,0,0.5544855549923974,0.7745187721535512
