condition,class,linear_probe_f1,linear_probe_auc,mlp_baseline_f1,mlp_baseline_auc,delta_f1,delta_auc
clean,Block,0.6372817030026858,0.724015696077779,0.6236097735967636,0.7261549511913014,-0.013671929405922212,0.0021392551135223092
clean,Prolongation,0.6199600558549154,0.7869434417728887,0.5590705960492593,0.7852899576230976,-0.060889459805656077,-0.0016534841497910513
clean,SoundRep,0.6575036153653002,0.8446323815315013,0.6069141822174623,0.8425101062588437,-0.050589433147837926,-0.0021222752726576255
clean,WordRep,0.643216544123153,0.8509009690399164,0.6122361245873542,0.8536137556296184,-0.030980419535798775,0.0027127865897019765
clean,Interjection,0.7556660042509389,0.864369227440552,0.7469393474702107,0.8639180648933819,-0.008726656780728148,-0.0004511625471701475
full_chain,Block,0.46149579336568164,0.6177749962931329,0.37336316351166204,0.6252923865410152,-0.0881326298540196,0.007517390247882227
full_chain,Prolongation,0.5899330055736234,0.7539975727353279,0.5229443433100692,0.7500196204590016,-0.06698866226355416,-0.0039779522763262465
full_chain,SoundRep,0.5695157286266357,0.7653007183236407,0.47928652760359985,0.767991402441056,-0.09022920102303583,0.002690684117415354
full_chain,WordRep,0.5727069827529194,0.8260524217810934,0.5560486867904887,0.8143327857809917,-0.016658295962430736,-0.01171963600010173
full_chain,Interjection,0.7334302327146959,0.8460210904154607,0.7323519037330806,0.8427738633192527,-0.0010783289816153063,-0.0032472270962079497
vad_agg3,Block,0.5159158754127542,0.6515907728287569,0.4581166701772405,0.6576870714743903,-0.057799205235513684,0.006096298645633436
vad_agg3,Prolongation,0.6050536517905549,0.7687686685613712,0.553328663432659,0.7663563363232506,-0.05172498835789596,-0.0024123322381205403
vad_agg3,SoundRep,0.6079413498527194,0.8059175572408618,0.5297083918219061,0.8057431478463556,-0.07823295803081332,-0.00017440939450619197
vad_agg3,WordRep,0.5977173635311056,0.8454619426683709,0.6102178188160507,0.8416649694354177,0.012500455284945144,-0.003796973232953249
vad_agg3,Interjection,0.7488275339246769,0.8578078035832405,0.7462568774836923,0.854613830370622,-0.002570656440984642,-0.003193973212618495
opus_16k_voip,Block,0.6351627940101584,0.7228664384762051,0.6159522808702012,0.7247390667100518,-0.019210513139957253,0.001872628233846707
opus_16k_voip,Prolongation,0.6188186331819765,0.787189296086235,0.5549555513260724,0.7849602023400939,-0.06386308185590406,-0.0022290937461411087
opus_16k_voip,SoundRep,0.658625512898104,0.8441133204156241,0.6050896477167946,0.841735156113289,-0.05353586518130937,-0.002378164302335173
opus_16k_voip,WordRep,0.6493995351124117,0.8526902154316056,0.6089234185052858,0.855561221116403,-0.04047611660712591,0.0028710056847973675
opus_16k_voip,Interjection,0.7563514910921061,0.8650329171003717,0.748508500960868,0.8649481377694619,-0.007842990131238126,-8.477933090977885e-05
full_chain_novad,Block,0.5378948036286395,0.6966825741718987,0.4949572463220355,0.7010126644550526,-0.04293755730660398,0.004330090283153898
full_chain_novad,Prolongation,0.5813887065916495,0.7754471391697686,0.48986302128999243,0.7734399530381004,-0.09152568530165711,-0.0020071861316681705
full_chain_novad,SoundRep,0.6257492249399055,0.8224825454956497,0.5371207683690497,0.8220379715806242,-0.08862845657085583,-0.0004445739150255035
full_chain_novad,WordRep,0.6203326145475104,0.8411724621193238,0.5968649017026115,0.8395373463364739,-0.023467712844898903,-0.0016351157828499163
full_chain_novad,Interjection,0.7461120229743805,0.8599542056343855,0.7252086891545314,0.8600957226495793,-0.0209033338198491,0.0001415170151938261
