condition,class,clean_f1,degraded_f1,fold_sd,abs_f1_drop,rel_f1_drop_pct
clean,Block,0.6474597244758948,0.6474597244758948,0.019933746936704688,0.0,0.0
clean,Prolongation,0.6317353640085368,0.6317353640085368,0.03176462443652734,0.0,0.0
clean,SoundRep,0.6113121868618536,0.6113121868618536,0.02317493859771459,0.0,0.0
clean,WordRep,0.6296273961608223,0.6296273961608223,0.021230108355794086,0.0,0.0
clean,Interjection,0.7626280644508107,0.7626280644508107,0.016794407150387748,0.0,0.0
opus_16k,Block,0.6474597244758948,0.6406735281461791,0.022997451618779266,0.006786196329715777,1.0481264043426115
opus_16k,Prolongation,0.6317353640085368,0.628918580900758,0.03203226658368262,0.0028167831077787753,0.4458802321759387
opus_16k,SoundRep,0.6113121868618536,0.6125802101408402,0.024965092944316643,-0.001268023278986563,-0.20742646821682215
opus_16k,WordRep,0.6296273961608223,0.6349398496280986,0.022053026966170806,-0.005312453467276268,-0.8437456025054122
opus_16k,Interjection,0.7626280644508107,0.7633729102785098,0.014601057835747505,-0.000744845827699181,-0.09766829499456788
opus_8k,Block,0.6474597244758948,0.5968202451246766,0.02738020696402154,0.050639479351218264,7.821255506233977
opus_8k,Prolongation,0.6317353640085368,0.6164008579424103,0.03451002927467725,0.015334506066126519,2.427362300698952
opus_8k,SoundRep,0.6113121868618536,0.5937477465316165,0.02327040296398743,0.017564440330237074,2.8732357554334746
opus_8k,WordRep,0.6296273961608223,0.6102606703654712,0.02973711520614728,0.019366725795351147,3.075902655037013
opus_8k,Interjection,0.7626280644508107,0.7543210955644037,0.01716520454281067,0.008306968886406918,1.0892555983222298
opus_16k_dtx,Block,0.6474597244758948,0.64020698456936,0.022553996283580367,0.007252739906534855,1.1201839484928267
opus_16k_dtx,Prolongation,0.6317353640085368,0.6270372214423887,0.030732320692465082,0.004698142566148089,0.7436883913442911
opus_16k_dtx,SoundRep,0.6113121868618536,0.6135327115235917,0.022774703765519766,-0.0022205246617380547,-0.36323906335599626
opus_16k_dtx,WordRep,0.6296273961608223,0.6282168485959614,0.027919085387937463,0.00141054756486092,0.22402893734640345
opus_16k_dtx,Interjection,0.7626280644508107,0.7631499739942852,0.015005744491221929,-0.0005219095434745302,-0.06843565924240823
vad_agg3,Block,0.6474597244758948,0.4292899929233637,0.03716296219400373,0.21816973155253117,33.6962629959933
vad_agg3,Prolongation,0.6317353640085368,0.6136562018700508,0.03397979120047029,0.018079162138486038,2.861825246534992
vad_agg3,SoundRep,0.6113121868618536,0.5665450487052514,0.029007517184255115,0.04476713815660227,7.323122149161226
vad_agg3,WordRep,0.6296273961608223,0.542996563419272,0.025710156201721998,0.08663083274155026,13.759063419061043
vad_agg3,Interjection,0.7626280644508107,0.7524812705062227,0.014642232651971432,0.01014679394458795,1.3305036121238123
vad_zero,Block,0.6474597244758948,0.533258682325965,0.0390484278746091,0.11420104214992988,17.63832371849434
vad_zero,Prolongation,0.6317353640085368,0.5763495524139121,0.034963511937300046,0.055385811594624745,8.767248875096424
vad_zero,SoundRep,0.6113121868618536,0.5195592477223046,0.049897478982042685,0.09175293913954907,15.009178797916507
vad_zero,WordRep,0.6296273961608223,0.5896225147605374,0.022451011063028298,0.04000488140028491,6.353738996145378
vad_zero,Interjection,0.7626280644508107,0.7162753002443314,0.02484994919598059,0.04635276420647927,6.078030217765348
denoise,Block,0.6474597244758948,0.5472638277448448,0.03571761085160584,0.10019589673105,15.475232349341342
denoise,Prolongation,0.6317353640085368,0.6105102759473182,0.032067026337882346,0.02122508806121859,3.3598068543352544
denoise,SoundRep,0.6113121868618536,0.5801630190167719,0.03102416898607428,0.031149167845081704,5.095459981745939
denoise,WordRep,0.6296273961608223,0.6099805877438328,0.026808936608313072,0.019646808416989514,3.1203865233289876
denoise,Interjection,0.7626280644508107,0.7521251965763376,0.019745169309421492,0.010502867874473076,1.3771939906298203
full_chain,Block,0.6474597244758948,0.357447776476678,0.036175041853575556,0.2900119479992168,44.79227618891282
full_chain,Prolongation,0.6317353640085368,0.5987634252720775,0.03318757768271196,0.032971938736459316,5.219264365262566
full_chain,SoundRep,0.6113121868618536,0.5254536440360857,0.027292018898766025,0.08585854282576788,14.044958479646747
full_chain,WordRep,0.6296273961608223,0.5270133018306592,0.02267803478028685,0.10261409433016311,16.2975904409269
full_chain,Interjection,0.7626280644508107,0.7350940660086284,0.013028571211213934,0.027533998442182295,3.6104098086149348
