clip_uid,condition,silence_removed_frac,duration_reduction_frac
HeStutters_2_0,clean,0.0,0.0
HeStutters_2_2,clean,0.0,0.0
HeStutters_2_4,clean,0.0,0.0
HeStutters_2_5,clean,0.0,0.0
HeStutters_2_6,clean,0.0,0.0
HeStutters_2_7,clean,0.0,0.0
HeStutters_2_8,clean,0.0,0.0
HeStutters_2_9,clean,0.0,0.0
HeStutters_2_10,clean,0.0,0.0
HeStutters_2_11,clean,0.0,0.0
HeStutters_2_12,clean,0.0,0.0
HeStutters_2_13,clean,0.0,0.0
HeStutters_2_15,clean,0.0,0.0
HeStutters_2_16,clean,0.0,0.0
HeStutters_2_17,clean,0.0,0.0
HeStutters_2_18,clean,0.0,0.0
HeStutters_2_19,clean,0.0,0.0
HeStutters_2_20,clean,0.0,0.0
HeStutters_2_21,clean,0.0,0.0
HeStutters_2_22,clean,0.0,0.0
HeStutters_2_24,clean,0.0,0.0
HeStutters_2_25,clean,0.0,0.0
HeStutters_2_26,clean,0.0,0.0
HeStutters_2_27,clean,0.0,0.0
HeStutters_2_28,clean,0.0,0.0
HeStutters_2_30,clean,0.0,0.0
HeStutters_2_32,clean,0.0,0.0
HeStutters_2_34,clean,0.0,0.0
HeStutters_2_35,clean,0.0,0.0
HeStutters_2_37,clean,0.0,0.0
HeStutters_2_38,clean,0.0,0.0
HeStutters_2_39,clean,0.0,0.0
HeStutters_2_40,clean,0.0,0.0
HeStutters_2_42,clean,0.0,0.0
HeStutters_2_44,clean,0.0,0.0
HeStutters_2_48,clean,0.0,0.0
HeStutters_2_49,clean,0.0,0.0
HeStutters_2_50,clean,0.0,0.0
HeStutters_2_51,clean,0.0,0.0
HeStutters_2_52,clean,0.0,0.0
HeStutters_2_55,clean,0.0,0.0
HeStutters_2_57,clean,0.0,0.0
HeStutters_2_58,clean,0.0,0.0
HeStutters_2_59,clean,0.0,0.0
HeStutters_2_60,clean,0.0,0.0
HeStutters_2_61,clean,0.0,0.0
HeStutters_2_62,clean,0.0,0.0
HeStutters_2_63,clean,0.0,0.0
HeStutters_2_64,clean,0.0,0.0
HeStutters_2_66,clean,0.0,0.0
HeStutters_2_68,clean,0.0,0.0
HeStutters_2_69,clean,0.0,0.0
HeStutters_2_70,clean,0.0,0.0
HeStutters_2_71,clean,0.0,0.0
HeStutters_2_72,clean,0.0,0.0
HeStutters_2_73,clean,0.0,0.0
HeStutters_2_75,clean,0.0,0.0
HeStutters_2_76,clean,0.0,0.0
HeStutters_2_77,clean,0.0,0.0
HeStutters_2_78,clean,0.0,0.0
HeStutters_2_79,clean,0.0,0.0
HeStutters_2_80,clean,0.0,0.0
HeStutters_2_81,clean,0.0,0.0
HeStutters_2_83,clean,0.0,0.0
HeStutters_2_84,clean,0.0,0.0
HeStutters_2_85,clean,0.0,0.0
HeStutters_2_86,clean,0.0,0.0
HeStutters_2_89,clean,0.0,0.0
HeStutters_2_90,clean,0.0,0.0
HeStutters_2_91,clean,0.0,0.0
HeStutters_2_92,clean,0.0,0.0
HeStutters_2_93,clean,0.0,0.0
HeStutters_2_94,clean,0.0,0.0
HeStutters_2_95,clean,0.0,0.0
HeStutters_2_97,clean,0.0,0.0
HeStutters_2_98,clean,0.0,0.0
HeStutters_2_99,clean,0.0,0.0
HeStutters_2_100,clean,0.0,0.0
HeStutters_2_101,clean,0.0,0.0
HeStutters_2_103,clean,0.0,0.0
HeStutters_2_104,clean,0.0,0.0
HeStutters_2_105,clean,0.0,0.0
HeStutters_2_106,clean,0.0,0.0
HeStutters_2_107,clean,0.0,0.0
HeStutters_2_108,clean,0.0,0.0
HeStutters_2_109,clean,0.0,0.0
HeStutters_2_110,clean,0.0,0.0
HeStutters_2_111,clean,0.0,0.0
HeStutters_2_112,clean,0.0,0.0
HeStutters_2_113,clean,0.0,0.0
HeStutters_2_114,clean,0.0,0.0
HeStutters_2_116,clean,0.0,0.0
HeStutters_2_117,clean,0.0,0.0
HeStutters_2_120,clean,0.0,0.0
HeStutters_2_121,clean,0.0,0.0
HeStutters_2_124,clean,0.0,0.0
HeStutters_2_125,clean,0.0,0.0
HeStutters_2_126,clean,0.0,0.0
HeStutters_2_127,clean,0.0,0.0
HeStutters_2_128,clean,0.0,0.0
HeStutters_2_129,clean,0.0,0.0
HeStutters_2_130,clean,0.0,0.0
HeStutters_2_131,clean,0.0,0.0
HeStutters_2_132,clean,0.0,0.0
HeStutters_2_133,clean,0.0,0.0
HeStutters_2_134,clean,0.0,0.0
HeStutters_2_136,clean,0.0,0.0
HeStutters_2_137,clean,0.0,0.0
HeStutters_2_138,clean,0.0,0.0
HeStutters_2_139,clean,0.0,0.0
HeStutters_2_140,clean,0.0,0.0
HeStutters_2_143,clean,0.0,0.0
HeStutters_2_144,clean,0.0,0.0
HeStutters_2_145,clean,0.0,0.0
HeStutters_2_146,clean,0.0,0.0
HeStutters_2_147,clean,0.0,0.0
HeStutters_2_149,clean,0.0,0.0
HeStutters_2_150,clean,0.0,0.0
HeStutters_2_153,clean,0.0,0.0
HeStutters_2_154,clean,0.0,0.0
HeStutters_2_155,clean,0.0,0.0
HeStutters_2_157,clean,0.0,0.0
HeStutters_2_158,clean,0.0,0.0
HeStutters_2_159,clean,0.0,0.0
HeStutters_2_160,clean,0.0,0.0
HeStutters_2_161,clean,0.0,0.0
HeStutters_2_163,clean,0.0,0.0
HeStutters_2_164,clean,0.0,0.0
HeStutters_2_165,clean,0.0,0.0
HeStutters_2_166,clean,0.0,0.0
HeStutters_2_168,clean,0.0,0.0
HeStutters_2_171,clean,0.0,0.0
HeStutters_2_172,clean,0.0,0.0
HeStutters_2_173,clean,0.0,0.0
HeStutters_2_174,clean,0.0,0.0
HeStutters_2_177,clean,0.0,0.0
HeStutters_2_178,clean,0.0,0.0
HeStutters_2_179,clean,0.0,0.0
HeStutters_2_180,clean,0.0,0.0
HeStutters_2_183,clean,0.0,0.0
HeStutters_2_184,clean,0.0,0.0
HeStutters_2_185,clean,0.0,0.0
HeStutters_2_186,clean,0.0,0.0
HeStutters_2_187,clean,0.0,0.0
HeStutters_2_188,clean,0.0,0.0
HeStutters_2_189,clean,0.0,0.0
HeStutters_2_190,clean,0.0,0.0
HeStutters_2_191,clean,0.0,0.0
HeStutters_2_192,clean,0.0,0.0
HeStutters_2_193,clean,0.0,0.0
HeStutters_2_194,clean,0.0,0.0
HeStutters_2_195,clean,0.0,0.0
HeStutters_2_196,clean,0.0,0.0
HeStutters_2_197,clean,0.0,0.0
HeStutters_2_198,clean,0.0,0.0
HeStutters_2_199,clean,0.0,0.0
HeStutters_2_203,clean,0.0,0.0
HeStutters_2_204,clean,0.0,0.0
HeStutters_2_205,clean,0.0,0.0
HeStutters_2_206,clean,0.0,0.0
HeStutters_2_207,clean,0.0,0.0
HeStutters_2_208,clean,0.0,0.0
HeStutters_2_210,clean,0.0,0.0
HeStutters_2_211,clean,0.0,0.0
HeStutters_2_212,clean,0.0,0.0
HeStutters_2_214,clean,0.0,0.0
HeStutters_2_215,clean,0.0,0.0
HeStutters_7_0,clean,0.0,0.0
HeStutters_7_1,clean,0.0,0.0
HeStutters_7_2,clean,0.0,0.0
HeStutters_7_4,clean,0.0,0.0
HeStutters_7_5,clean,0.0,0.0
HeStutters_7_6,clean,0.0,0.0
HeStutters_7_7,clean,0.0,0.0
HeStutters_7_8,clean,0.0,0.0
HeStutters_7_10,clean,0.0,0.0
HeStutters_7_11,clean,0.0,0.0
HeStutters_7_12,clean,0.0,0.0
HeStutters_7_13,clean,0.0,0.0
HeStutters_7_14,clean,0.0,0.0
HeStutters_7_19,clean,0.0,0.0
HeStutters_7_20,clean,0.0,0.0
HeStutters_7_22,clean,0.0,0.0
HeStutters_7_23,clean,0.0,0.0
HeStutters_7_26,clean,0.0,0.0
HeStutters_7_27,clean,0.0,0.0
HeStutters_7_28,clean,0.0,0.0
HeStutters_7_30,clean,0.0,0.0
HeStutters_7_31,clean,0.0,0.0
HeStutters_7_32,clean,0.0,0.0
HeStutters_7_33,clean,0.0,0.0
HeStutters_7_34,clean,0.0,0.0
HeStutters_8_1,clean,0.0,0.0
HeStutters_8_2,clean,0.0,0.0
HeStutters_8_3,clean,0.0,0.0
HeStutters_8_4,clean,0.0,0.0
HeStutters_8_6,clean,0.0,0.0
HeStutters_8_8,clean,0.0,0.0
HeStutters_8_9,clean,0.0,0.0
HeStutters_8_10,clean,0.0,0.0
HeStutters_8_11,clean,0.0,0.0
HeStutters_8_14,clean,0.0,0.0
