condition,class,f1,f1_ci_low,f1_ci_high,auc,auc_ci_low,auc_ci_high
clean,Block,0.6430790485116376,0.6329458647698192,0.6532122322534559,0.7273958425484379,0.7204086098039532,0.7343830752929227
clean,Prolongation,0.6177572727495527,0.5791013874810815,0.6564131580180239,0.7850340714940104,0.7696887455244728,0.800379397463548
clean,SoundRep,0.6581753711814591,0.6315482950595618,0.6848024473033564,0.8460981041623323,0.8306387399950282,0.8615574683296364
clean,WordRep,0.6399327622776658,0.6224785586824477,0.6573869658728839,0.8513496583822857,0.8448511214870169,0.8578481952775545
clean,Interjection,0.7574756434140903,0.7412424253318372,0.7737088614963435,0.8660390990983544,0.8545737416703666,0.8775044565263422
opus_16k,Block,0.6381502183510012,0.6331759223916044,0.6426933471396008,0.7257650038949123,0.7239933999718874,0.727474996611648
opus_16k,Prolongation,0.6124531077152293,0.6068771687652801,0.6180907187909311,0.7832560958203735,0.7814974915599151,0.7848936470444965
opus_16k,SoundRep,0.6565037260159399,0.6516878705266327,0.6615755909888046,0.8461633913368077,0.844570343977478,0.8477698141066147
opus_16k,WordRep,0.6421992346940434,0.6354875413777346,0.6491219759747923,0.8530444023793373,0.850991353214064,0.8553650517686855
opus_16k,Interjection,0.7560202944211397,0.7512168656401574,0.7606778767121359,0.8653579099983968,0.8640124020322382,0.8668342136449105
opus_8k,Block,0.6152612124419575,0.6056128172331396,0.6250929721677265,0.7155798236437831,0.7110438130960209,0.7203673224648355
opus_8k,Prolongation,0.5947556901124628,0.5828006780616956,0.6057218546378683,0.7748328210071546,0.7699987166053137,0.7794705440196029
opus_8k,SoundRep,0.6387520877418378,0.6291090750484979,0.6472596205435667,0.8313750577223622,0.826596043619644,0.8358686097272094
opus_8k,WordRep,0.6338631225396704,0.6225627395907466,0.6446761243559499,0.8478204036573496,0.8433200400154149,0.8526348556895652
opus_8k,Interjection,0.746163046380085,0.7394374840870481,0.752661588054577,0.8623023476669547,0.859092672814402,0.865682656930712
opus_16k_voip,Block,0.6454657878240845,0.6400823098628625,0.6508468343666692,0.7260005145691486,0.7241723975929257,0.7278005473437956
opus_16k_voip,Prolongation,0.6128896025951922,0.6065713974374798,0.6191356592430961,0.7836457936192983,0.7820527503829557,0.7852454380257904
opus_16k_voip,SoundRep,0.6579477363562974,0.6531436849600454,0.662757423583478,0.8456284006035067,0.8443152307516748,0.8469253403051518
opus_16k_voip,WordRep,0.6465425774331552,0.6396309809890756,0.6537794467663285,0.8541078711442097,0.8522542284841499,0.8559835495937411
opus_16k_voip,Interjection,0.7570018545632309,0.7525227519601903,0.7614950897998434,0.8664652293995496,0.8648305939401534,0.8681497922175505
vad_agg3,Block,0.5154236705857327,0.49515273880699284,0.5336206387068921,0.6562357164528929,0.6468023199215966,0.6654246373732278
vad_agg3,Prolongation,0.5956353210075707,0.5843974941657533,0.6066110391190994,0.7678692315932752,0.7607577815604563,0.7747810320181604
vad_agg3,SoundRep,0.6184906329146036,0.6063258471060057,0.6305786005423439,0.8090029660367103,0.8010682743014972,0.81668485539466
vad_agg3,WordRep,0.599647863632221,0.5844532158037171,0.6136691714297459,0.8431085499042819,0.8366914504089398,0.8498358072073999
vad_agg3,Interjection,0.7505925031113468,0.7428747024083765,0.7582273720375373,0.8587407926918733,0.854498735760806,0.8625232909324866
vad_zero,Block,0.5102068618308675,0.4912949978473931,0.5293998144803393,0.6387216207043581,0.6273231595460419,0.6507582978275638
vad_zero,Prolongation,0.5556545761333094,0.5387390212959322,0.5718151865123707,0.7218636298916177,0.7103867593563927,0.7338170130680538
vad_zero,SoundRep,0.5626187526901872,0.5412323689623476,0.5818641467956336,0.7803671031510822,0.7681636339762995,0.7932382896493875
vad_zero,WordRep,0.5976453132005728,0.5807356735789654,0.6142292895403754,0.811847113762975,0.8024603695398714,0.8214430583213499
vad_zero,Interjection,0.7105738382002437,0.6997185151954295,0.7221878522084922,0.837415241038739,0.8317358702707418,0.8432758068063283
denoise,Block,0.5264382330674178,0.5066740803480619,0.5440336761863175,0.6904850777388402,0.6832052114630197,0.6981082345216135
denoise,Prolongation,0.5828669304521675,0.5673512390783582,0.5974713048910931,0.773573413164244,0.7686159212284971,0.7788460300750359
denoise,SoundRep,0.6236944924912644,0.6114271460638967,0.6348203812221052,0.820168776239432,0.8140821512289648,0.8261220299982853
denoise,WordRep,0.6264438394648911,0.612391855429858,0.639537689390751,0.8453297450921026,0.8388038952747274,0.8516395144415905
denoise,Interjection,0.7420424304305151,0.7346671277680125,0.749301211410831,0.8611224255170431,0.8578951461008901,0.8645908938454928
full_chain_novad,Block,0.5308399911579574,0.5123258164593477,0.5475978631679781,0.6961578906284014,0.688851636488313,0.7028355022248899
full_chain_novad,Prolongation,0.5768685675250103,0.5612522434562649,0.5916932211386753,0.772108658992838,0.7664271837268899,0.7773425941528279
full_chain_novad,SoundRep,0.6250353701966518,0.6122815834747581,0.6360946798325133,0.8225041265920179,0.8159371169824396,0.8286136861366704
full_chain_novad,WordRep,0.6275764972648723,0.6138777534923198,0.6409888291579048,0.8439722916162815,0.8374362538524613,0.8500374454199001
full_chain_novad,Interjection,0.7499717523568228,0.7426122823384487,0.7570644166952708,0.8619690463901358,0.8584640921349633,0.8658991583318102
full_chain,Block,0.4523460622715544,0.4278593472390698,0.47564665605167206,0.6232277327211453,0.6117911627525999,0.6343145466151018
full_chain,Prolongation,0.5768944752572626,0.5641072200206292,0.5896678556643682,0.7509596594197006,0.7424985526609584,0.7588346700609948
