condition,class,clean_f1,degraded_f1,delta_f1,delta_f1_ci_low,delta_f1_ci_high,clean_auc,degraded_auc,delta_auc,delta_auc_ci_low,delta_auc_ci_high,p_val_raw,p_val_holm
opus_16k,Block,0.6430790485116376,0.6381502183510012,-0.005084833453975925,-0.010059129413372767,-0.0005417046653762339,0.7273958425484379,0.7257650038949123,-0.0019396259134929006,-0.003711229836517879,-0.00022963319675717593,0.034,0.17
opus_16k,Prolongation,0.6177572727495527,0.6124531077152293,-0.00525642086793585,-0.010832359817885126,0.000381190207765991,0.7850340714940104,0.7832560958203735,-0.0015791293014880976,-0.0033377335619464905,5.842192263493801e-05,0.072,0.288
opus_16k,SoundRep,0.6581753711814591,0.6565037260159399,-0.001914340972012529,-0.006730196461319662,0.003157524000852276,0.8460981041623323,0.8461633913368077,-7.513846278752734e-07,-0.0015937987439575974,0.0016056713851791164,0.428,1.0
opus_16k,WordRep,0.6399327622776658,0.6421992346940434,0.002178327342881807,-0.004533365973427022,0.009101068623630743,0.8513496583822857,0.8530444023793373,0.0017782070775114996,-0.0002748420877617258,0.004098856466859734,0.534,0.534
opus_16k,Interjection,0.7574756434140903,0.7560202944211397,-0.0015785488857577876,-0.0063819776667400465,0.003079033405238384,0.8660390990983544,0.8653579099983968,-0.000904895115822667,-0.0022504030819813113,0.0005714085306910554,0.522,1.0
opus_8k,Block,0.6430790485116376,0.6152612124419575,-0.028402052994152605,-0.038050448202970384,-0.0185702932683835,0.7273958425484379,0.7155798236437831,-0.012443295568562364,-0.016979306116324557,-0.007655796747510061,0.001,0.005
opus_8k,Prolongation,0.6177572727495527,0.5947556901124628,-0.02416858882778075,-0.036123600878547914,-0.013202424302375207,0.7850340714940104,0.7748328210071546,-0.009917382597695628,-0.01475148699953642,-0.005279659585247285,0.001,0.004
opus_8k,SoundRep,0.6581753711814591,0.6387520877418378,-0.01949644042466452,-0.02913945311800438,-0.010988907622935612,0.8460981041623323,0.8313750577223622,-0.014927314256929173,-0.01970632835964732,-0.010433762252081877,0.001,0.003
opus_8k,WordRep,0.6399327622776658,0.6338631225396704,-0.0066604934206780505,-0.017960876369601815,0.004152508395601425,0.8513496583822857,0.8478204036573496,-0.00347902560944871,-0.007979389251383315,0.0013354264227669133,0.226,0.226
opus_8k,Interjection,0.7574756434140903,0.746163046380085,-0.011247827463147834,-0.01797338975618467,-0.0047492857886558635,0.8660390990983544,0.8623023476669547,-0.004483284958505415,-0.007692959811057998,-0.0011029756947480546,0.002,0.004
opus_16k_voip,Block,0.6430790485116376,0.6454657878240845,0.0021003529557286496,-0.00328312500549329,0.007481399498313437,0.7273958425484379,0.7260005145691486,-0.0017763382566908135,-0.0036044552329136227,2.3694517956215787e-05,0.416,1.0
opus_16k_voip,Prolongation,0.6177572727495527,0.6128896025951922,-0.004685043600556786,-0.0110032487582692,0.0015610130473471251,0.7850340714940104,0.7836457936192983,-0.0011310951668687093,-0.002724138403211329,0.00046854923962331654,0.13,0.52
opus_16k_voip,SoundRep,0.6581753711814591,0.6579477363562974,-0.00018209800739833837,-0.00498614940365038,0.004627589219782226,0.8460981041623323,0.8456284006035067,-0.0004932651305703993,-0.001806434982402344,0.0008036745710746138,0.962,0.962
opus_16k_voip,WordRep,0.6399327622776658,0.6465425774331552,0.0063785984199005285,-0.0005329980241791183,0.013615467753073807,0.8513496583822857,0.8541078711442097,0.00266619524936778,0.0008125525893079549,0.0045418736988991045,0.078,0.39
