scheme,weights_blk_prol_snd_wrd_inj,mean_bias_vs_clean_pct,ci_clean_low,ci_clean_high,mean_bias_vs_gt_pct,r_disparate_impact,p_disparate_impact,spearman_rho,spearman_p
Clinical Standard (Paper),"[1.5, 1.5, 1.0, 1.0, 0.5]",-14.884574829127267,-16.52198820072948,-13.176280542997288,-6.875674030103898,-0.3591694536370351,9.496782926128046e-09,-0.37047125190218755,2.959198931840428e-09
Equal Weights (Unweighted),"[1.0, 1.0, 1.0, 1.0, 1.0]",-5.1742214091918415,-6.82638194048847,-3.40006566535516,2.939801772451081,-0.35605375257082006,1.299433360936568e-08,-0.37744565456823875,1.4085415501185975e-09
Core Stutter Only (Zero Interj),"[1.5, 1.5, 1.0, 1.0, 0.0]",-18.98293454553963,-20.942056454793807,-17.076373304984564,-9.789803949228979,-0.34797274726078253,2.885144488984768e-08,-0.35974253843141196,8.96125492981013e-09
Core Stutter Equal,"[1.0, 1.0, 1.0, 1.0, 0.0]",-13.219953696441603,-15.178195736646492,-11.365073368441417,-1.4908048956483007,-0.3668789391020511,4.307925687464688e-09,-0.37446536383870305,1.9385429386348758e-09
Block Heavy 2.0,"[2.0, 1.5, 1.0, 1.0, 0.5]",-19.895330268903237,-21.58996593748251,-18.268177270691485,-13.478776022102663,-0.36538633303563006,5.02859214584546e-09,-0.36714406992942156,4.1908238429622326e-09
Block Heavy 2.5,"[2.5, 1.5, 1.0, 1.0, 0.5]",-23.928705087698614,-25.745050405519084,-22.008037557395,-18.663495941760985,-0.3616016312929553,7.417391953290748e-09,-0.3557733220597153,1.3364075520916235e-08
Block Heavy 3.0,"[3.0, 1.5, 1.0, 1.0, 0.5]",-27.25522649820096,-29.12138336037262,-25.437986829532942,-22.845548093068853,-0.353427010237114,1.6882049867390452e-08,-0.33962218889919293,6.427007656370604e-08
SSI-4 Duration Heavy,"[2.0, 2.0, 1.0, 1.0, 0.25]",-20.646836605391513,-22.401947231615154,-18.9323771575281,-13.234297036322069,-0.33799306479390023,7.493530972902196e-08,-0.3473549000973192,3.06375566634983e-08
Repetition Heavy,"[1.0, 1.0, 1.5, 1.5, 0.5]",-3.7231888351089024,-5.563955952117911,-1.8983953626703494,8.946649974625046,-0.36917886297963526,3.3890694192800415e-09,-0.3714098749264055,2.6805821150677187e-09
Prolongation Heavy,"[1.0, 2.0, 1.0, 1.0, 0.5]",-8.19455113190729,-9.828840985709542,-6.645816733363855,2.5576612462064765,-0.29104784875851064,4.33491857732016e-06,-0.3424354499625347,4.919947340699547e-08
